"","name","critical","energy_consumption","time","memory_usage","cpu_usage"
"344","kasteelhoensbroek",FALSE,35.948628,3316,2478323.52941176,16
"345","kasteelhoensbroek",FALSE,39.885372,3262,2475136.70588235,15
"346","kasteelhoensbroek",FALSE,34.771968,3011,2461746.83870968,15
"347","kasteelhoensbroek",FALSE,42.40782,3468,2445804.44444444,15
"348","kasteelhoensbroek",FALSE,36.000288,3628,2450504.54054054,15
"349","kasteelhoensbroek",FALSE,43.55568,3269,2409469.88235294,16
"350","kasteelhoensbroek",FALSE,35.597592,3363,2396084.45714286,15
"351","kpoe",FALSE,29.28402,1606,2591128,16
"352","kpoe",FALSE,31.197708,1708,2665910.22222222,17
"353","kpoe",FALSE,32.306256,1357,2625748.8,15
"354","kpoe",FALSE,33.335208,1613,2648754.82352941,15
"355","kpoe",FALSE,32.340672,1608,2588288.47058824,16
"356","kpoe",FALSE,33.600096,1762,2499252.63157895,15
"357","kpoe",FALSE,30.941316,1609,2391970.35294118,10
"358","kpoe",FALSE,37.21554,1559,2516242.58823529,15
"359","kpoe",FALSE,30.08916,1458,2461918.75,16
"360","kpoe",FALSE,28.598508,1565,2400304.94117647,15
"361","magnetadservices",FALSE,30.360852,2062,2773597.45454545,16
"362","magnetadservices",FALSE,34.393788,2163,2586504.52173913,17
"363","magnetadservices",FALSE,32.306256,1858,2516765,15
"364","magnetadservices",FALSE,30.31236,2060,2500003.09090909,15
"365","magnetadservices",FALSE,35.67852,2310,2469642.16666667,14
"366","magnetadservices",FALSE,31.674672,2218,2454544.69565217,17
"367","magnetadservices",FALSE,36.740448,2111,2437934.90909091,15
"368","magnetadservices",FALSE,41.15556,2219,2457241.91304348,12
"369","magnetadservices",FALSE,32.822316,2307,2408380.16666667,16
"370","magnetadservices",FALSE,35.139384,2312,2412097.5,15
"371","marketlii",FALSE,34.04826,1960,2673033.33333333,12
"372","marketlii",FALSE,36.370368,1909,2689377.2,16
"373","marketlii",FALSE,36.789984,1960,2781116.38095238,15
"374","marketlii",FALSE,31.53402,1808,2761419.15789474,15
"375","marketlii",FALSE,37.488996,2212,2590091.47826087,16
"376","marketlii",FALSE,34.338096,1859,2452032,15
"377","marketlii",FALSE,33.079752,1859,2413167.4,15
"378","marketlii",FALSE,35.73648,2064,2434395.45454545,15
"379","marketlii",FALSE,43.991784,2220,2412689.39130435,10
"380","marketlii",FALSE,40.307652,3068,2378704.375,14
"381","megatorrentshd",FALSE,32.5836,2010,2450890.0952381,16
"382","megatorrentshd",FALSE,31.104,1805,2470189.26315789,15
"383","megatorrentshd",FALSE,28.440396,1764,2464675.78947368,15
"384","megatorrentshd",FALSE,27.83808,1559,2423763.76470588,14
"385","megatorrentshd",FALSE,34.852608,2161,2397816.69565217,15
"386","megatorrentshd",FALSE,33.771168,1607,2388056,15
"387","megatorrentshd",FALSE,30.31938,1610,2360690.58823529,14
"388","megatorrentshd",FALSE,31.577868,1610,2363755.76470588,15
"389","megatorrentshd",FALSE,32.340672,1908,2420830.2,15
"390","megatorrentshd",FALSE,44.658648,1866,2414613.8,11
"391","nflpenalties",FALSE,43.85934,2822,2755959.72413793,15
"392","nflpenalties",FALSE,35.940456,2561,2638406.96296296,16
"393","nflpenalties",FALSE,36.898812,2816,2618340,16
"394","nflpenalties",FALSE,35.4996,2668,2599509.42857143,14
"395","nflpenalties",FALSE,38.533248,2517,2538428.92307692,16
"396","nflpenalties",FALSE,37.31616,2409,2403368.32,16
"397","nflpenalties",FALSE,32.939712,2514,2435950.76923077,15
"398","nflpenalties",FALSE,37.670688,2611,2382556.14814815,16
"399","nflpenalties",FALSE,40.44456,2722,2375730.71428571,15
"400","nflpenalties",FALSE,34.523352,2614,2368308.14814815,15
"401","pieterhugo",FALSE,36.106992,2411,2658190.4,16
"402","pieterhugo",FALSE,35.473536,3214,2612217.57575758,16
"403","pieterhugo",FALSE,30.63744,2513,2585315.84615385,16
"404","pieterhugo",FALSE,32.089032,2511,2561446.46153846,15
"405","pieterhugo",FALSE,35.817876,2620,2470796.59259259,18
"406","pieterhugo",FALSE,33.041412,3218,2468090.3030303,16
"407","pieterhugo",FALSE,30.247524,2515,2401114.15384615,14
"408","pieterhugo",FALSE,30.44664,2107,2405843.81818182,14
"409","pieterhugo",FALSE,33.919056,2313,2454763.16666667,17
"410","pieterhugo",FALSE,35.773992,2513,2423020.92307692,16
"411","porn5f",FALSE,38.11122,2566,2504641.33333333,14
"412","porn5f",FALSE,36.244548,3370,2493591.88571429,15
"413","porn5f",FALSE,34.282404,2513,2501511.07692308,15
"414","porn5f",FALSE,34.9029,3058,2471886.875,16
"415","porn5f",FALSE,35.67852,2514,2460704.76923077,15
"416","porn5f",FALSE,34.003692,2911,2461602,17
"417","porn5f",FALSE,34.998444,2764,2408184.4137931,15
"418","porn5f",FALSE,36.677232,2518,2422420.15384615,15
"419","porn5f",FALSE,36.935028,2619,2417896.74074074,15
"420","porn5f",FALSE,32.207544,2562,2426462.51851852,15
"421","renesia",FALSE,35.850564,2917,2590720,16
"422","renesia",FALSE,34.681716,2765,2654875.72413793,16
"423","renesia",FALSE,35.315172,2720,2644958,15
"424","renesia",FALSE,33.573168,2813,2589962.48275862,15
"425","renesia",FALSE,37.532268,2716,2532445.85714286,15
"426","renesia",FALSE,34.377876,2714,2509686.42857143,16
"427","renesia",FALSE,34.688988,2912,2514677.6,16
"428","renesia",FALSE,32.56848,2612,2451783.11111111,15
"429","renesia",FALSE,35.26218,2764,2450135.86206897,16
"430","renesia",FALSE,37.376208,2970,2435930.32258065,15
