date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:56	445859/445859	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/publisher-page-image/tablet-adv.png	magnetadservices.com/Content/images/publisher-page-image/tablet-adv.png	(from https://magnetadservices.com/Publishers)
19:23:59	96172/96172	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/publisher-page-image/mobile-adv.png	magnetadservices.com/Content/images/publisher-page-image/mobile-adv.png	(from https://magnetadservices.com/Publishers)
19:24:04	9457/9457	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/make-the-most-money.png	magnetadservices.com/Content/images/theme/make-the-most-money.png	(from https://magnetadservices.com/Publishers)
19:24:06	18870/18870	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/support-for-various-platforms.png	magnetadservices.com/Content/images/theme/support-for-various-platforms.png	(from https://magnetadservices.com/Publishers)
19:24:06	12489/12489	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/regular-payment.png	magnetadservices.com/Content/images/theme/regular-payment.png	(from https://magnetadservices.com/Publishers)
19:24:07	14237/14237	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/theme/variety-of-display-formats.png	magnetadservices.com/Content/images/theme/variety-of-display-formats.png	(from https://magnetadservices.com/Publishers)
19:24:07	3632/3632	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/preview-ads/mobile-show-ads.png	magnetadservices.com/Content/images/preview-ads/mobile-show-ads.png	(from https://magnetadservices.com/Publishers)
19:24:08	3553/3553	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/preview-ads/sample-mob-content.png	magnetadservices.com/Content/images/preview-ads/sample-mob-content.png	(from https://magnetadservices.com/Publishers)
19:24:09	71301/71301	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/preview-ads/native-ads.png	magnetadservices.com/Content/images/preview-ads/native-ads.png	(from https://magnetadservices.com/Publishers)
19:24:09	3038/3038	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/preview-ads/menu-app.png	magnetadservices.com/Content/images/preview-ads/menu-app.png	(from https://magnetadservices.com/Publishers)
19:24:10	8385/8385	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/preview-ads/sample-mob-content-2.png	magnetadservices.com/Content/images/preview-ads/sample-mob-content-2.png	(from https://magnetadservices.com/Publishers)
19:24:10	5181/5181	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/preview-ads/mobile-banner-ads.png	magnetadservices.com/Content/images/preview-ads/mobile-banner-ads.png	(from https://magnetadservices.com/Publishers)
19:24:11	26021/26021	---M--	200	added ('OK')	image/jpeg	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/preview-ads/interstitiall-ads.jpg	magnetadservices.com/Content/images/preview-ads/interstitiall-ads.jpg	(from https://magnetadservices.com/Publishers)
19:24:12	39553/39553	---M--	200	added ('OK')	image/png	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/publisher-page-image/publishers-testimonial.png	magnetadservices.com/Content/images/publisher-page-image/publishers-testimonial.png	(from https://magnetadservices.com/Publishers)
19:24:13	138792/138792	---M--	200	added ('OK')	image/jpeg	etag:%2206753edbf47d61:0%22	https://magnetadservices.com/Content/images/search-ads-page-image/myket-ads-stand.jpg	magnetadservices.com/Content/images/search-ads-page-image/myket-ads-stand.jpg	(from https://magnetadservices.com/SearchAds)
19:24:13	7871/7871	---M--	200	added ('OK')	image/png	etag:%22022b0518d53d61:0%22	https://magnetadservices.com/Content/images/search-ads-page-image/myket-logo.png	magnetadservices.com/Content/images/search-ads-page-image/myket-logo.png	(from https://magnetadservices.com/SearchAds)
